unique_id,metric,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_94,mse,180205325.3611111,122324807.171875,201340918.10591277,4693932.552585986,118521847.87411267,124826614.66666667,,4693932.552585986,152217757.5034519,59467385.159001365,8829341.818632571,6435391.075511743
store_95,mse,87350988.69444445,69408659.0329861,105669306.02245073,2223018.0997802913,67785502.20282075,78544176.91666667,,2223018.0997802913,84676925.36832614,33142020.39618803,3590712.762417297,2882832.610975537
store_96,mse,141172682.2222222,100852440.015625,161958051.93375647,5255214.133032011,97187778.63246228,107675589.70833333,,5255214.133032011,125513063.52693051,49640851.32231793,9799178.439111993,7280571.218354235
store_97,mse,108896681.6388889,70148650.39756945,132754848.20557827,5573293.02042858,77284661.32881232,121680631.27777778,,5573293.02042858,87414266.7985957,37987584.20653778,10037740.130156698,8114036.633956909
store_98,mse,52873119.38888889,39521272.159722224,62079901.195325255,1564262.1278972516,38362377.3391511,48839486.458333336,,1564262.1278972516,48068928.93110523,17724013.461772334,2086149.7041387185,1678850.1912639886
store_99,mse,203593220.1388889,117341707.203125,245348055.7385229,4083653.8162425277,117544986.89567524,132150321.02777778,,4083653.8162425277,144248226.4383844,55637042.840958655,5840678.78964803,4960262.40649815
store_1,mape,0.16286454925977817,0.1371815696899058,0.17691442961700135,0.032488188681388835,0.14034909974138676,0.15560915106593812,,0.032488188681388835,0.14936544685918188,0.08802865552158967,0.039218713963320904,0.03307156068218332
store_10,mape,0.20818597107687542,0.1694594845395301,0.22566942110755375,0.029110120726136588,0.1633866669099066,0.13744647647253877,,0.029110120726136588,0.17530585005159882,0.09501044726095362,0.03893049008312796,0.031261295371296786
store_11,mape,0.19145680154954506,0.14495361808578486,0.20685932259540163,0.03533257296428977,0.14760613117447124,0.1301349545547564,,0.03533257296428977,0.16851220399898434,0.09898192763435136,0.044663137467019026,0.03772807495462516
store_12,mape,0.22608500654469615,0.16957076387416625,0.24668889497181098,0.03715293096728473,0.16875199225140636,0.15149560740216772,,0.03715293096728473,0.17729203503503038,0.11594044218243105,0.046313061918078255,0.040953958719138206
store_13,mape,0.3269652456386384,0.2573008400486611,0.3581152505941735,0.0429702778710995,0.24731185027145766,0.22134331412303035,,0.0429702778710995,0.20472321311448885,0.17106308220858793,0.05561668126045479,0.047790316125885884
store_14,mape,0.26184066294612524,0.2121343511392368,0.28320327050581184,0.02791489413184106,0.2086283482560799,0.1716038259383622,,0.02791489413184106,0.17957833487385086,0.11681753164147758,0.03551576708044596,0.028389497430773236
store_15,mape,0.22516679023339922,0.16681245245423448,0.24527298327999755,0.04279147472423149,0.16409805935942764,0.15610315125416885,,0.04279147472423149,0.17771541008385772,0.1141477565258565,0.051584178212783285,0.04403359421872064
store_16,mape,0.4322538147363378,0.3431351248713528,0.4521498427075723,0.09714881149129331,0.33251144077412387,0.3397273326073255,,0.09714881149129331,0.2859175774137671,0.20489636943985626,0.09768967602237698,0.05405435274490822
store_17,mape,0.25993350722669667,0.21151552887002134,0.2860840075494762,0.031872233313122354,0.20608462211616468,0.17420403464383274,,0.031872233313122354,0.18854191051006106,0.13995293551549445,0.03813755453227371,0.03318055710944832
store_18,mape,0.24248125158419148,0.18687537705351823,0.26480153331587997,0.03372522192832139,0.18650228849532594,0.18224275853053473,,0.03372522192832139,0.17703824965592624,0.12737827485142766,0.04219806873142399,0.03789431308084021
store_19,mape,0.2544461666215081,0.19393737587337176,0.2670153179236776,0.055482852645992065,0.19950064359314157,0.23431987837476884,,0.055482852645992065,0.16123979415117937,0.12654016038874163,0.045529159712182764,0.04697789936674175
store_2,mape,0.2560404266266703,0.20565126187586957,0.2793587938678755,0.03594718830969038,0.2063492374902351,0.18358882002292598,,0.03594718830969038,0.18418272935867727,0.13539415402049218,0.036736157521304734,0.035475812388588046
store_20,mape,0.18781106771464653,0.15353294945125398,0.2043684246839121,0.03732458176101787,0.15171622086840936,0.1298585606423361,,0.03732458176101787,0.1611208605147921,0.09090410150598784,0.05116970155194146,0.04045667832973114
store_21,mape,0.1918955923620056,0.12905686964275018,0.20977127618906,0.03155563576919563,0.1321931855068524,0.14479810395201143,,0.03155563576919563,0.14407687789984974,0.08816841282534056,0.03694487288178418,0.033948517323881176
store_22,mape,0.2702674852762612,0.2082453641488248,0.2928881984818787,0.036529220998713724,0.2005134927791813,0.1903842785686825,,0.036529220998713724,0.19753330709844097,0.14019520415065584,0.049665117061174276,0.04232660437082033
store_23,mape,0.28786235830155166,0.2345145330746818,0.30924039903771455,0.0384653156908829,0.23264645534677525,0.20388778832143992,,0.0384653156908829,0.1898855818557157,0.15899760429003137,0.04666261601081667,0.04075163235266503
store_24,mape,0.3305148200139165,0.27671434371881704,0.3562613438545358,0.0345908666952677,0.24641482271735038,0.19197084746869542,,0.0345908666952677,0.20084155066327972,0.1347353405066041,0.04012101691379632,0.03665459181271096
store_25,mape,0.18347024205229664,0.1619266507530267,0.1965941754674442,0.02817487835459029,0.15847314916108546,0.16214947080506129,,0.02817487835459029,0.15462678073761335,0.10713199658618654,0.031056453195371606,0.029267320407606108
store_26,mape,0.21683961581116729,0.16350493958528065,0.23599570401628384,0.037604943986734064,0.1625570196092669,0.13681689170930783,,0.037604943986734064,0.16895650817540772,0.09055114954946832,0.045812653925603165,0.03870712236361302
store_27,mape,0.2360175743258059,0.17976539958718152,0.25558664792307073,0.02691411499367588,0.18286592200796434,0.179015854605476,,0.02691411499367588,0.16026549290501477,0.11985094566464806,0.027260325354607762,0.026811956503762165
